study_words,test_words,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
poster,,,,0,0,0,14,,,,,0.07365120004396886,,0.01554940000642091,0.07365120004396886,0.07365120004396886,7.370899199973792,1.992,7.324717100011185,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
tshirt,,,,0,1,1,7,,,,,7.398691499955021,,7.372833500034176,7.398691499955021,7.398691499955021,8.306243299972266,1.992,0.8906530999811366,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
cushion,,,,0,2,2,1,,,,,8.350457099964842,,8.306687799980864,8.350457099964842,8.350457099964842,9.641429899958894,3.04,1.2927199000259861,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
keys,,,,0,3,3,13,,,,,9.667910199961625,,9.641861899988726,9.667910199961625,9.667910199961625,10.4236522000283,3.04,0.7542341999942437,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
laptop,,,,0,4,4,5,,,,,10.452168100047857,,10.42390819999855,10.452168100047857,10.452168100047857,11.891760800033808,4.064,1.4447419000789523,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
chart,,,,0,5,5,6,,,,,11.920093500055373,,11.892025100067258,11.920093500055373,11.920093500055373,12.72956929996144,4.064,0.7997142999665812,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
cruise,,,,0,6,6,11,,,,,12.771819100016728,,12.730154999997467,12.771819100016728,12.771819100016728,13.276712100021541,4.064,0.5158152999356389,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
marble,,,,0,7,7,3,,,,,13.305076000047848,,13.276972300023772,13.305076000047848,13.305076000047848,14.131375600001775,4.064,0.8169130999594927,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
pastry,,,,0,8,8,9,,,,,14.173163500032388,,14.13193879998289,14.173163500032388,14.173163500032388,15.299192700069398,3.568,1.1207718999357894,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
phone,,,,0,9,9,2,,,,,15.341451899963431,,15.299980100011453,15.341451899963431,15.341451899963431,16.36295360000804,3.632,1.0321020999690518,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
mouse,,,,0,10,10,8,,,,,16.391967199975625,,16.3632158000255,16.391967199975625,16.391967199975625,17.34788470005151,3.928,0.9630791998934001,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
case,,,,0,11,11,10,,,,,17.376239400007762,,17.348143100040033,17.376239400007762,17.376239400007762,18.298698500031605,3.368,0.9305666999425739,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
board,,,,0,12,12,4,,,,,18.327614599955268,,18.298951699980535,18.327614599955268,18.327614599955268,19.35778910003137,3.128,1.0139871999854222,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
police,,,,0,13,13,12,,,,,19.41289440006949,,19.358524800045416,19.41289440006949,19.41289440006949,20.167417300050147,3.4,0.7733116999734193,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
book,,,,0,14,14,0,,,,,20.196210299967788,,20.167719200020656,20.196210299967788,20.196210299967788,21.235321999993175,2.568,1.0470414999872446,,,,,,,,,,,,,,,926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,l_pt_p,laptop,old,,,,,0,0,0,0,21.280635999981314,,,,,,,,21.24261249997653,21.280635999981314,21.280635999981314,21.280635999981314,0.012154600000940263,27.407249800045975,laptop,[0.098],[-0.288],[1],[0],[0],[6.1587591000134125],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,p_nc_l,pencil,new,,,,,0,1,1,16,27.438404600019567,,,,,,,,27.408918100059964,27.438404600019567,27.438404600019567,27.438404600019567,0.003587299957871437,32.445734999957494,pencil,[0.018],[-0.304],[1],[0],[0],[5.032790799974464],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,c_m_ra,camera,new,,,,,0,2,2,19,32.46106280002277,,,,,,,,32.446593999979086,32.46106280002277,32.46106280002277,32.46106280002277,0.0033660000190138817,42.45551710005384,camera,[],[],[],[],[],[],[],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,p_s_ry,pastry,old,,,,,0,3,3,4,42.472957300022244,,,,,,,,42.45646710006986,42.472957300022244,42.472957300022244,42.472957300022244,0.012678500032052398,46.728680700063705,pastry,[0.05],[-0.284],[1],[0],[0],[4.269025699933991],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,p_st_r,poster,old,,,,,0,4,4,9,46.743594600004144,,,,,,,,46.72957690001931,46.743594600004144,46.743594600004144,46.743594600004144,0.003423799993470311,52.80120210000314,poster,[0.048],[-0.292],[1],[0],[0],[6.067928100004792],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,_oa_d,board,old,,,,,0,5,5,10,52.81666450004559,,,,,,,,52.80198750004638,52.81666450004559,52.81666450004559,52.81666450004559,0.002959999954327941,58.10744080005679,board,[0.048],[-0.292],[1],[0],[0],[5.301913600065745],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,_ho_e,phone,old,,,,,0,6,6,12,58.13835330004804,,,,,,,,58.10837949998677,58.13835330004804,58.13835330004804,58.13835330004804,0.0038870000280439854,63.11269870004617,phone,[0.048],[-0.292],[1],[0],[0],[5.000051100039855],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,bo_t_e,bottle,new,,,,,0,7,7,18,63.12834599998314,,,,,,,,63.113327100058086,63.12834599998314,63.12834599998314,63.12834599998314,0.0027808999875560403,69.55274519999512,bottle,[0.048],[-0.292],[1],[0],[0],[6.436182200093754],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,v_s_,vase,new,,,,,0,8,8,17,69.56851610005833,,,,,,,,69.55337830004282,69.56851610005833,69.56851610005833,69.56851610005833,0.004959800047799945,74.35929389996454,vase,[0.048],[-0.292],[1],[0],[0],[4.80053060001228],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,_oo_,book,old,,,,,0,9,9,13,74.3739717999706,,,,,,,,74.36003900005016,74.3739717999706,74.3739717999706,74.3739717999706,0.0028809000505134463,79.33195620006882,book,[0.048],[-0.292],[1],[0],[0],[4.968584700021893],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,ta_l_,table,new,,,,,0,10,10,15,79.36174620001111,,,,,,,,79.3327848999761,79.36174620001111,79.36174620001111,79.36174620001111,0.003538800054229796,85.35554320004303,table,[0.048],[-0.292],[1],[0],[0],[6.018748799921013],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,c_s_io_,cushion,old,,,,,0,11,11,14,85.36928039998747,,,,,,,,85.35640990000684,85.36928039998747,85.36928039998747,85.36928039998747,0.0028227000730112195,91.278217199957,cushion,[0.048],[-0.292],[1],[0],[0],[5.918230599956587],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,t_hi_t,tshirt,old,,,,,0,12,12,2,91.30880969995633,,,,,,,,91.27954200003296,91.30880969995633,91.30880969995633,91.30880969995633,0.004710800014436245,96.70058760000393,tshirt,[0.048],[-0.292],[1],[0],[0],[5.415853500016965],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,_ha_t,chart,old,,,,,0,13,13,1,96.73115710006095,,,,,,,,96.7016482000472,96.73115710006095,96.73115710006095,96.73115710006095,0.0035828999243676662,106.7098687000107,c,[],[],[],[],[],[],[],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,_ou_e,mouse,old,,,,,0,14,14,3,106.72638640005607,,,,,,,,106.71066390001215,106.72638640005607,106.72638640005607,106.72638640005607,0.012255099951289594,113.52035510004498,mouse,[0.048],[-0.292],[1],[0],[0],[6.806001999997534],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,c_s_,case,old,,,,,0,15,15,5,113.54934350005351,,,,,,,,113.5211214000592,113.54934350005351,113.54934350005351,113.54934350005351,0.0032335000578314066,117.70636900002137,case,[0.048],[-0.292],[1],[0],[0],[4.181449400028214],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,p_li_e,police,old,,,,,0,16,16,7,117.72172979998868,,,,,,,,117.70738430006895,117.72172979998868,117.72172979998868,117.72172979998868,0.003387400065548718,121.0783487999579,police,[0.048],[-0.292],[1],[0],[0],[3.367017799988389],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,_ru_s_,cruise,old,,,,,0,17,17,6,121.09206269995775,,,,,,,,121.07917370006908,121.09206269995775,121.09206269995775,121.09206269995775,0.002903599990531802,129.30280529998709,cruise,[0.048],[-0.292],[1],[0],[0],[8.220260999980383],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,_a_bl_,marble,old,,,,,0,18,18,11,129.3179383999668,,,,,,,,129.30372309999075,129.3179383999668,129.3179383999668,129.3179383999668,0.0030870999908074737,139.31297049997374,marble,[],[],[],[],[],[],[],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
,k_y_,keys,old,,,,,0,19,19,8,139.32912260002922,,,,,,,,139.3138132999884,139.32912260002922,139.32912260002922,139.32912260002922,0.01317160006146878,143.33575269998983,keys,[0.048],[-0.292],[1],[0],[0],[4.018402300076559],['text_3'],926656,001,2024-10-25_11h28.14.162,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h28.21.521626 +0530,
